title,description,price,img
Striped Mobile Pocket Bagru Short Shorts,Natural Dyed,"₹3,010","//cdn.shopify.com/s/files/1/0534/2501/2925/products/striped-mobile-pocket-short-shorts-short-shorts-511714_600x.jpg?v=1626171990,//cdn.shopify.com/s/files/1/0534/2501/2925/products/striped-mobile-pocket-short-shorts-short-shorts-367433_600x.jpg?v=1626171990"
Beige Mid-Rise Cotton Straight Shorts,100% Cotton,"₹1,880","//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-mid-rise-cotton-straight-shorts-straight-shorts-112654_600x.jpg?v=1611242420,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-mid-rise-cotton-straight-shorts-straight-shorts-665511_600x.jpg?v=1611242420"
Powder Blue Vegetable Dyed Handspun Short Shorts,Handspun Handwoven,"₹4,660","//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-vegetable-dyed-handspun-short-shorts-short-shorts-832460_600x.jpg?v=1626282234,//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-vegetable-dyed-handspun-short-shorts-short-shorts-323649_600x.jpg?v=1626282234"
Warm Dusk Beige Cotton Flannel Shorts,Cotton Flannel,"₹3,390","//cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-293835_600x.jpg?v=1626083754,//cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-198205_600x.jpg?v=1626083754"
Mint Green Cotton Chambray Shorts,100% Cotton,"₹3,200","//cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-cotton-chambray-short-shorts-short-shorts-310386_600x.jpg?v=1626280045,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-cotton-chambray-short-shorts-short-shorts-179758_600x.jpg?v=1626280045"
Teal Mid-Rise Cotton Straight Shorts,100% Cotton,"₹1,880","//cdn.shopify.com/s/files/1/0534/2501/2925/products/IMG_2136_600x.jpg?v=1640772528,//cdn.shopify.com/s/files/1/0534/2501/2925/products/IMG_2137_600x.jpg?v=1640772528"
White Mid Rise Paisley Short Shorts,Azo-Free,"₹3,800","//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-554380_600x.jpg?v=1626371001,//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-799175_600x.jpg?v=1626371001"
Powder Pink Handspun Mid Rise Shorts,Handspun Handwoven,"₹4,450","//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-pink-handspun-paneled-shorts-paneled-shorts-274630_600x.jpg?v=1626282304,//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-pink-handspun-paneled-shorts-paneled-shorts-609353_600x.jpg?v=1626282304"
Aqua Blue Hand Tie Dyed Short Shorts,"Hand,Tie-Dyed","₹3,390","//cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-blue-tie-dye-short-shorts-short-shorts-570714_600x.jpg?v=1626187030,//cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-blue-tie-dye-short-shorts-short-shorts-411870_600x.jpg?v=1626187030"
Pink Flannel Convertible Pant Shorts,Convertible,"₹4,630","//cdn.shopify.com/s/files/1/0534/2501/2925/products/convertible-pink-flannel-pant-shorts-straight-shorts-350128_600x.jpg?v=1625989303,//cdn.shopify.com/s/files/1/0534/2501/2925/products/convertible-pink-flannel-pant-shorts-straight-shorts-594018_600x.jpg?v=1625989303"
Sky Blue Handspun Cozy Bermuda Shorts,Handspun Handwoven,"₹4,300","//cdn.shopify.com/s/files/1/0534/2501/2925/products/4L4A4640_600x.jpg?v=1637644614,//cdn.shopify.com/s/files/1/0534/2501/2925/products/4L4A4636_600x.jpg?v=1637644614"
Sage Green Cotton Corduroy Baggy Shorts,Cotton Corduroy,"₹3,200","//cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-734767_600x.jpg?v=1625844335,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-273010_600x.jpg?v=1625844335"
Olive Green Solid Cotton Short Shorts,100% Cotton,"₹2,470","//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-flax-short-shorts-short-shorts-974059_600x.jpg?v=1625847458,//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-flax-short-shorts-short-shorts-451621_600x.jpg?v=1625847458"
White Crinkled Cotton Frilled Shorts,100% Cotton,"₹3,560","//cdn.shopify.com/s/files/1/0534/2501/2925/products/frilled-short-shorts-short-short-788036_600x.jpg?v=1625850974,//cdn.shopify.com/s/files/1/0534/2501/2925/products/frilled-short-shorts-short-short-801486_600x.jpg?v=1625850974"
Red Solid Cotton Short Shorts,100% Cotton,"₹2,460","//cdn.shopify.com/s/files/1/0534/2501/2925/products/red-solid-cotton-short-shorts-short-shorts-349011_600x.jpg?v=1611250620,//cdn.shopify.com/s/files/1/0534/2501/2925/products/red-solid-cotton-short-shorts-short-shorts-467892_600x.jpg?v=1611250620"
Striped Handwoven Flared Godet Shorts,Handwoven,"₹4,180","//cdn.shopify.com/s/files/1/0534/2501/2925/products/striped-handwoven-flared-godet-shorts-godet-shorts-546514_600x.jpg?v=1625990161,//cdn.shopify.com/s/files/1/0534/2501/2925/products/striped-handwoven-flared-godet-shorts-godet-shorts-538822_600x.jpg?v=1625990161"
Beige Kalamkari Comfort Fit Shorts,Natural Dyed,"₹2,630","//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-kalamkari-curved-hem-shorts-curved-hem-shorts-541711_600x.jpg?v=1625847179,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-kalamkari-curved-hem-shorts-curved-hem-shorts-967022_600x.jpg?v=1625847178"
Orange Handspun Mirror Work Shorts,Handspun Handwoven,"₹3,040","//cdn.shopify.com/s/files/1/0534/2501/2925/products/orange-handspun-mirror-work-shorts-straight-shorts-733057_600x.jpg?v=1625849349,//cdn.shopify.com/s/files/1/0534/2501/2925/products/orange-handspun-mirror-work-shorts-straight-shorts-526328_600x.jpg?v=1625849349"
Teal Blue Comfort Fit Short Shorts,100% Cotton,"₹1,900","//cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-293275_600x.jpg?v=1611244484,//cdn.shopify.com/s/files/1/0534/2501/2925/products/teal-blue-comfort-fit-short-shorts-short-shorts-596694_600x.jpg?v=1611244484"
Breezy Handspun Cotton Checks Shorts,Handspun Handwoven,"₹3,200","//cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-555500_600x.jpg?v=1626172136,//cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-handspun-short-shorts-short-shorts-232614_600x.jpg?v=1626172136"
Musturd Gold Handspun 100% Cotton Short Shorts,Handspun Handwoven,"₹2,520","//cdn.shopify.com/s/files/1/0534/2501/2925/products/musturd-gold-100-cotton-khadi-short-shorts-short-shorts-677556_600x.jpg?v=1630997461,//cdn.shopify.com/s/files/1/0534/2501/2925/products/musturd-gold-100-cotton-khadi-short-shorts-short-shorts-407890_600x.jpg?v=1630997461"
Breezy Off-White Striped Mid-Rise Shorts,100% Cotton,"₹2,620","//cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-off-white-striped-mid-rise-shorts-short-shorts-859021_600x.jpg?v=1611242488,//cdn.shopify.com/s/files/1/0534/2501/2925/products/breezy-off-white-striped-mid-rise-shorts-short-shorts-337767_600x.jpg?v=1611242488"
Red Yarn Dyed Mid Rise Flared Shorts,100% Cotton,"₹4,210","//cdn.shopify.com/s/files/1/0534/2501/2925/products/red-yarn-dyed-cotton-pleated-shorts-pleated-shorts-589634_600x.jpg?v=1625848592,//cdn.shopify.com/s/files/1/0534/2501/2925/products/red-yarn-dyed-cotton-pleated-shorts-pleated-shorts-935772_600x.jpg?v=1625848592"
Vintage Plum Handspun 100% Cotton Short Shorts,Handspun Handwoven,"₹2,520","//cdn.shopify.com/s/files/1/0534/2501/2925/products/vintage-plum-100-cotton-khadi-short-shorts-short-shorts-315436_600x.jpg?v=1630997464,//cdn.shopify.com/s/files/1/0534/2501/2925/products/vintage-plum-100-cotton-khadi-short-shorts-short-shorts-924665_600x.jpg?v=1630997464"
Navy Blue Striped Paneled Shorts,100% Cotton,"₹2,580","//cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-643629_600x.jpg?v=1611241305,//cdn.shopify.com/s/files/1/0534/2501/2925/products/navy-blue-striped-paneled-shorts-paneled-shorts-861032_600x.jpg?v=1611241305"
Mint Green Tie and Dye Bermuda Shorts,"Hand,Tie-Dyed","₹2,970","//cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-tie-dye-bermuda-shorts-bermuda-shorts-662673_600x.jpg?v=1625990180,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-tie-dye-bermuda-shorts-bermuda-shorts-467772_600x.jpg?v=1625990180"
Beige 100% Cotton Low-Rise Short Shorts,100% Cotton,"₹3,130","//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3316_600x.jpg?v=1639981246,//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3304_600x.jpg?v=1639981239"
Handspun Solid Red Casual Cotton Shorts,Handspun Handwoven,"₹3,100","//cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-solid-red-casual-cotton-shorts-short-shorts-484823_600x.jpg?v=1626191935,//cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-solid-red-casual-cotton-shorts-short-shorts-350110_600x.jpg?v=1626191935"
